题号,题干,A选项,B选项,C选项,D选项,答案,解析,,,,,,,,,,,
23,以下关于CO2培养箱使用注意事项的说法错误的是,培养瓶和碟可以叠放,组织培养皿需放在塑料盘内进行孵育,专人管理，每天检查CO2、管道，防止漏气，检查温度等,定期清洁和消毒,A,,,,,,,,,,,,
24,实验室不允许使用明火电炉，如有特殊情况确需使用的，须向学校实验室处申请《明火电炉使用许可证》,正确,错误,,,A,,,,,,,,,,,,
25,大功率实验器材在无法断电的情况下损坏，严禁自己动手修理,正确,错误,,,A,,,,,,,,,,,,
26,长时间使用恒温水浴锅，应注意及时加水，避免干烧发生危险,正确,错误,,,A,,,,,,,,,,,,
27,移动气体钢瓶应使用手推车，切勿拖拉、滚动或滑动气体钢瓶,正确,错误,,,A,,,,,,,,,,,,
28,实验仪器出现了小故障，可以自己拆开修理,正确,错误,,,B,,,,,,,,,,,,
29,电气设备发生火灾时，应注意：1、电气设备可能带电，可能发生触电事故；2、某些电气设备充有大量的油，可能发生喷油甚至爆炸。,正确,错误,,,A,,,,,,,,,,,,
30,机械温控冰箱可以存放易燃易爆的化学品,正确,错误,,,B,,,,,,,,,,,,
31,未经允许不得随意拆卸实验仪器和设备,正确,错误,,,A,,,,,,,,,,,,
32, 实验室冰箱内不得混放容易产生放热反应的化学品,正确,错误,,,A,,,,,,,,,,,,
33,高压钢瓶可以没有固定设施，可以使用过期、未经检验和不合格的气瓶,正确,错误,,,B,,,,,,,,,,,,
34,从液氮罐中取冻存的样品时要带防护手套,正确,错误,,,A,,,,,,,,,,,,
35,烘箱中禁止烘培易燃、易爆、易挥发及有腐蚀性的物品,正确,错误,,,A,,,,,,,,,,,,
36,用紫外分析仪观察凝胶时，可以在紫外灯未关之前放置凝胶。,正确,错误,,,B,,,,,,,,,,,,
37,使用生物安全柜时 ，头可以探入其中观察样品,正确,错误,,,B,,,,,,,,,,,,
38,当生物安全柜内发生少量感染性材料溢洒时，应用吸收纸巾立即处理，并立即用浸满消毒液的毛巾或纱布对生物安全柜及其内部的所以物品进行擦洗。工作面消毒后应更换手套，不论是摘下手套还是更换手套都要洗手。,正确,错误,,,A,,,,,,,,,,,,
39,"高压灭菌锅灭菌时，待灭菌的物品可与含有腐蚀性抑制剂或化学试剂的物质放在一起灭菌。
",正确,错误,,,B,,,,,,,,,,,,
40,当冷冻离心机用完后，不要马上关闭离心机盖子，应敞开一段时间，待冷冻造成的霜自然晾干后，再关闭离心机盖子。,正确,错误,,,A,,,,,,,,,,,,
