题号,题干,A选项,B选项,C选项,D选项,答案,解析
32,避免感染性物质扩散实验操作的注意点是,微生物接种环直径应为2～3mm并且完全闭合，柄的长度不应超过6cm,"应该使用密闭的微型电加热灭菌接种环,最好使用一次性的、无需灭菌的接种环",小心操作干燥的痰标本，以免产生气溶胶,以上都对,D,
33,微生物对消毒因子的抗力从高到低的顺序是, 细菌芽孢、分枝杆菌、亲水性病毒、真菌孢子、真菌繁殖体、细菌繁殖体、亲脂性病毒,细菌芽孢、真菌孢子、分枝杆菌、亲水性病毒、真菌繁殖体、细菌繁殖体、亲脂性病毒,细菌芽孢、分枝杆菌、真菌孢子、亲水性病毒、真菌繁殖体、细菌繁殖体、亲脂性病毒,真菌孢子、细菌芽孢、分枝杆菌、亲水性病毒、真菌繁殖体、细菌繁殖体、亲脂性病毒,B,
34,实验动物按对携带的微生物控制程度分成不同的等级，国际分级为,普通动物、悉生动物、无菌动物,普通动物、清洁动物、无菌动物,普通动物、清洁动物、悉生动物,普通动物、无特定病原体动物、无菌动物,D,
35,在参照国际标准的基础上，从我国实验动物实际情况出发常将实验动物分为以下几级,普通动物、悉生动物、无菌动物,普通动物、悉生动物、清洁动物、无菌动物,普通动物、无特定病原体动物、无菌动物,普通动物、清洁动物、无特定病原体动物、无菌动物,D,
36,以下不属于实验动物携带的人畜共患传染病病原体的是,狂犬病毒,汉坦病毒,梅毒螺旋体,马尔堡病毒,C,
37,结核分枝杆菌可以通过何种途径侵入易感机体，以下说法正确的是,呼吸道,消化道,皮肤损伤,以上说法都对,D,
38,以下不能引起人畜共患病的沙门菌是,鼠伤寒沙门菌,肠炎沙门菌,副伤寒沙门菌,猪霍乱沙门菌,C,
39,动物实验室的安全防护分几级,一级,二级,三级,四级,D,
40,在安全柜型生物安全四级实验室，生物安全四级病原微生物感染的实验动物应饲养在什么级别安全柜内,一级生物安全柜,二级生物安全柜,三级生物安全柜,四级生物安全柜,C,
41,动物实验的基本操作规范涉及,实验动物的饲养管理,实验动物的操作与处理内容,实验操作后的护理,以上都对,D,
42,关于实验动物护理的基本原则，以下说法错误的是,实验动物的饲养和使用应遵守国家有关的法律和规定,动物实验可以在实验室内任何的区域进行,使用过程中要求保证周围环境和实验人员的安全,完善标准操作规程，避免或减轻因实验对动物造成的不适或痛苦,B,
43,发生人畜共患病时，须立即向学校有关机构报告，同时还必须立即向当地什么职能部门报告,卫生厅,农业厅,卫生防疫部门,医院,C,
44,"被血液、体液污染的针头或其他锐器刺伤后，应立即用力捏住受伤部位，向离心方向挤出伤口的血液，不可来回挤压，同时用流动水冲洗伤口,再用75%酒精或碘酒消毒伤口",正确,错误,,,A,
45,在微生物实验中，一定要有“有菌观念”和“无菌操作意识”，操作中一定要按正确的程序严格无菌操作，一方面避免感染，另一方面加强自我防护,正确,错误,,,A,
46,如果在微生物实验中出现意外事故（如菌种管打破等），应立即用消毒剂（84消毒剂）清洁桌面、洗手等，及时杀灭细菌和病毒，避免污染面扩大,正确,错误,,,A,
47,用于实验研究的小型啮齿类动物，一般都是无致病原感染的动物，不必在实验过程中注视其生物安全问题,正确,错误,,,B,
48,动物实验结束后，废弃的动物尸体与器官可作为饲料原料再利用,正确,错误,,,B,
49,当实验室的环境设施条件达不到动物实验室国家标准，不能作为动物实验的场地,正确,错误,,,A,
50,国务院于2004年11月12日颁布的《病原微生物实验室生物安全管理条例》，是建立实验室生物安全管理体系所依据的主要法规,正确,错误,,,A,
51,抗菌剂不能够杀死微生物，只能抑制它们生长和繁殖,正确,错误,,,A,
52,接触化学危险品、剧毒以及致病微生物等的仪器设备和器皿，必须有明确醒目的标记。使用后及时清洁，特别是维修保养或移至到其他场地前，必须进行彻底的净化,正确,错误,,,A,
53,实验室安全事故的表现形式主要有：火灾、爆炸、中毒、灼伤、病原微生物感染、辐照和机电伤人等,正确,错误,,,A,
54, 病原微生物的研究工作必须在生物安全一级（BSL－1）、二级（BSL－2）、三级（BSL－3）和四级（BSL－4）实验室中进行,正确,错误,,,A,
55,开展病原微生物实验时，可用超净工作台替代生物安全柜,正确,错误,,,B,
56,每次微生物实验结束后，必须清洁消毒实验桌面，并需彻底洗手等,正确,错误,,,A,
57,在微生物实验中，一定要有“有菌观念”和“无菌操作意识”，操作中一定要按正确的程序严格无菌操作，一方面避免感染，另一方面加强自我防护,正确,错误,,,A,
